i,j,distance
29,4,1403.380905
29,5,1409.691985
29,6,2357.726862
29,7,2545.733632
29,8,2807.832826
29,9,2358.753624
29,10,2168.648389
29,11,2279.572213
29,12,1954.883039
29,13,2347.470506
29,14,1991.129461
29,15,1803.95394
29,16,1537.729986
29,17,1753.174594
29,18,1782.255238
29,19,2172.34661
29,20,1889.754628
29,21,2265.999803
29,22,1191.633301
29,23,942.492238
29,24,1456.914874
29,25,1401.464047
29,27,1133.883932
29,28,628.474606
29,29,0
29,30,850.467483
29,31,1109.744622
30,1,921.463073
30,2,971.267422
30,3,812.444777
30,4,553.273651
30,5,669.235643
30,6,1539.832426
30,7,1755.030131
30,8,2078.410185
30,9,1564.392285
30,10,1372.010543
30,11,1512.698967
30,12,1183.489096
30,13,1698.700094
30,14,1324.914856
30,15,955.87918
30,16,727.708802
30,17,1063.813752
30,18,1204.80332
30,19,1723.574214
30,20,1639.985082
30,21,1980.17555
30,22,878.603716
30,23,782.736007
30,24,1212.762168
30,25,1420.601852
30,27,430.154818
30,28,276.290487
30,29,850.467483
30,30,0
30,31,1712.874933
31,1,2405.870364
31,2,2499.390679
31,3,2409.254284
31,4,2182.078745
31,5,1962.309639
31,6,2899.03462
31,7,2995.123857
31,8,3095.635141
31,9,3269.0462
31,10,3077.43531
31,11,3225.018406
31,12,2896.13728
31,13,3382.649741
31,14,3012.696865
31,15,2595.325499
31,16,2435.791363
31,17,2757.727097
31,18,2839.968514
31,19,3270.176138
31,20,2999.143338
31,21,3375.42385
31,22,2290.749953
31,23,2048.445955
31,24,2566.261117
31,25,2488.585436
31,27,2110.248098
31,28,1612.48504
31,29,1109.744622
31,30,1712.874933
31,31,0
